frz	GCM	RCP	SEP0	SEP1	SEP2	rSEP1	rSEP2
Z6	MIROC_ESM_CHEM_10km	rcp26	23.9299076923077	27.9485395604396	27.6058087912088	1.16988703984598	1.15587261256174
Z7	MIROC_ESM_CHEM_10km	rcp26	23.9299076923077	27.9485395604396	27.6058087912088	1.16988703984598	1.15587261256174
Z8	MIROC_ESM_CHEM_10km	rcp26	23.9299076923077	27.9485395604396	27.6058087912088	1.16988703984598	1.15587261256174
Z9	MIROC_ESM_CHEM_10km	rcp26	23.9299076923077	27.9485395604396	27.6058087912088	1.16988703984598	1.15587261256174
Z10	MIROC_ESM_CHEM_10km	rcp26	23.9299076923077	27.9485395604396	27.6058087912088	1.16988703984598	1.15587261256174
Z11	MIROC_ESM_CHEM_10km	rcp26	23.9299076923077	27.9485395604396	27.6058087912088	1.16988703984598	1.15587261256174
Z12	MIROC_ESM_CHEM_10km	rcp26	23.9299076923077	27.9485395604396	27.6058087912088	1.16988703984598	1.15587261256174
Z13	MIROC_ESM_CHEM_10km	rcp26	23.9299076923077	27.9485395604396	27.6058087912088	1.16988703984598	1.15587261256174
Z1	MIROC_ESM_CHEM_10km	rcp45	37.63910449	42.07721124	43.72712442	1.117912124	1.161747204
Z2	MIROC_ESM_CHEM_10km	rcp45	35.47923616	39.64990812	40.70360816	1.117552473	1.147251535
Z3	MIROC_ESM_CHEM_10km	rcp45	31.11226511	35.59754825	35.71154419	1.144164468	1.147828487
Z4	MIROC_ESM_CHEM_10km	rcp45	29.69474514	33.69878541	34.15936936	1.134840028	1.15035065
Z5	MIROC_ESM_CHEM_10km	rcp45	36.05490445	40.47146665	41.89736281	1.122495463	1.162043374
Z6	MIROC_ESM_CHEM_10km	rcp45	34.7003332	39.15497648	40.78461788	1.128374654	1.175337932
Z7	MIROC_ESM_CHEM_10km	rcp45	30.02404498	34.21769633	35.44397765	1.139676428	1.180519736
Z8	MIROC_ESM_CHEM_10km	rcp45	33.86368405	38.33915154	38.49247408	1.13216127	1.136688909
Z9	MIROC_ESM_CHEM_10km	rcp45	30.64413068	34.75535224	35.68091073	1.134160163	1.164363613
Z10	MIROC_ESM_CHEM_10km	rcp45	28.61009772	32.51815352	33.73037298	1.13659708	1.178967416
Z11	MIROC_ESM_CHEM_10km	rcp45	30.40336806	34.90951197	35.24401594	1.148211997	1.159214199
Z12	MIROC_ESM_CHEM_10km	rcp45	23.2782411	26.97878767	27.93478318	1.158970197	1.200038399
Z13	MIROC_ESM_CHEM_10km	rcp45	22.80475156	25.59058573	26.79532002	1.122160251	1.174988465
Z1	MIROC_ESM_CHEM_10km	rcp85	36.70193154	45.21443949	54.05584597	1.231936239	1.472833818
